10 & 296808 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 5584111511150 & 95285 & 95414 & 66949 
20 & 683823 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 77306551330 & 124614 & 159066 & 97754 
30 & 939152 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 1438311134330 & 229999 & 146474 & 126173 
40 & 1332182 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 19261000 & 160639 & 166518 & 185408 
50 & 1648208 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 26100000 & 210755 & 220030 & 248113 
60 & 2080575 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 329805273830 & 333380 & 375617 & 330384 
70 & 2393944 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 301242251620 & 410979 & 457467 & 428938 
80 & 2846905 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 427023962230 & 624452 & 612200 & 537161 
90 & 3213532 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 4344743800 & 707673 & 570346 & 664479 
100 & 3664676 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 50114000 & 645715 & 691898 & 802949 
110 & 4078191 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 513882872160 & 883332 & 915291 & 964468 
120 & 4474922 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 58673223360 & 1009124 & 995992 & 1131912 
130 & 4907863 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 68260141610 & 1128491 & 1184803 & 1323730 
140 & 5385943 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 594962971210 & 1278536 & 1370379 & 1519035 
150 & 5825227 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 721542712200 & 1478852 & 1581494 & 1734313 
160 & 6404228 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 8489720400 & 1598699 & 1661694 & 1964347 
170 & 6791431 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 851038000 & 1852525 & 1874802 & 2205533 
180 & 7262906 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 8672116800 & 2024037 & 2095611 & 2474400 
190 & 7725658 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 939002221020 & 2171704 & 2436465 & 2755026 
200 & 8305977 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 9802678960 & 2488873 & 2721588 & 3057660 
210 & 8825805 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 106453153700 & 2763848 & 2887502 & 3342900 
220 & 9444153 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 10558113600 & 2986393 & 3092362 & 3669713 
230 & 9902046 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 113461302890 & 3268023 & 3458377 & 3999758 
240 & 10504196 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 123895144950 & 3566276 & 3788653 & 4354498 
250 & 11009349 & valores, arbol, 4/6, 5/6 y Kn respectivamentes 12433515700 & 3754798 & 3981707 & 4730406 
